Titles,content
Favorite/first photo,"
We had a bunch of virtual social activities in the orientation week of my summer internship. There were 55 of us summer interns, and one of the activities was sharing a favorite picture or a memory. I cannot say I enjoyed all the games we played, particularly If you could be anywhere in the world right now, where would you want to be?, which seems like it would be a fun game during Covid, but it was one of my bad days so the only place I could think of was home. (It was my fourth month alone in my apartment so...)



I landed in Atlanta on August 5, 2019. I was to stay temporarily in a senior's apartment not far from where I live now, before moving in here. Another Gatech-bound student and I got off at the building, my network wasn't working and he wasn't able to get through to his friend to let us inside. So we waited on the pavement with all our luggage for somebody to show up and open the gate for us. That's when I clicked my first picture in Atlanta, which is what I shared in the Photo-share activity.  



Waiting outside with 50kg of luggage on my first day in a foreign country with no phone network is not something I'm familiar with, but the frame before me (apart from being obviously clean and well-maintained) was hot, humid and green, just like my home. This photo was a moment of taking it all in, realizing that Atlanta might not be too unfamiliar territory after all.



(While sharing with everyone, I mentioned for context that I was from Kerala, the ""tropics"" where it's humid and full of trees, so this scene felt a lot like home, even while being away from home.)



Trees and beautiful skies - Atlanta



&nbsp;It rained later that day and I had a beautiful view from the room I was staying in. Shruthy wasn't arriving until two days later, and I wasn't jet-lagged so I just sat in the room watching the sunset and vehicles go by.



I hadn't met the senior whose room I stayed in, but I saw her books and her desk, a couple of framed photos. And I hadn't imagined a lot about this place (Atlanta or college) before coming here either, so it was just a lot of observing and taking in, than Aah's or Ooh's.



Ikea was right across the road (behind those trees) and I could see inside the building at 2am, past the scant traffic. I saw people climbing stairs in those hours, and for a while I simply sat on my bed and watched somebody sitting at his desk, like I expected something to happen, but nothing did. It was a great view to Ikea as well and I probably would've spent a lot of time just looking at it had we continued to live there, the way I watch the trees here.&nbsp;



Even while it wasn't my favorite of plans, this country and a lot of people here have been extremely kind to me in the time I've been here. I've got to witness chaos - good and bad - especially in the last few months. Some days I marvel that it's happening right before me, that I get to learn, witness and be a part of it, while some days the history overwhelms and exhausts me. But maybe that's the way it should be. And I do love that it's hot, humid and green here.



View from the room - Evening showers, sunset and tech trolley hub
"
An evening of sad songs,"
I wish I didn't have a headache from lying in bedListening to sad songsCryingAbout the old lover, over an estranged parentIt wasn't meant to go farBut you know how it is on Saturday eveningsOne thing leads to anotherAnd before you know it, you've taken it one too far.Ruined what could have been a perfectly nice nightSipping sweet lime soda with no bubbles in itThe way I like itThis song here, he hated how everyone was singing or talking about itAnd I knew I'd ruin it if I translated for himWe'd both hate it in fact.So I told him it was a nice songNot how it sounded like us.



Ah the good songs and places and things people ruin for usThe old lover, with his unnecessary soft singing between kissesThat you swoon over, only to break your heart in laterAnd a parent with their loving lullabiesThat later turned too cold and distant and everything in between



The songs come back sooner or later, when one day you thinkTo revisit the goodness that once wasThat you're ready.Perhaps not never though, on a less sad note -Maybe just not tonight. 



So it could've been a perfect Saturday night sipping sweet lime soda The way I like it with the bubbles all outI simply got it all wrong, again.







Featured image : Bawra mann
"
Appropriate joke #2,"
Do not look for Appropriate joke #1, it doesn't exist
"
the fantastic dream life,"
Dreams are fantastic affairs these days. 



It started in the dining room of our engineering college staff quarters where my family lived until I was 5. My class was all huddled in that room on chairs and other furniture that I really didn't take note of, attending a lecture. I scanned across but couldn't identify any faces except for my crush who sat on the edge of a bed (he wore a yellow tee-shirt and trousers). The professor was Steve Carell.



I mean.



Around 10 seconds into the dream it was revealed that I was sick and had to lie in another bed (in the same dining room), it so happened that Steve Carell was also a doctor and administered me a drip. Curiously my catheter had a plaster on it that said 11 Days in extremely conspicuous red. But also it wasn't just a mere sickness - it was understood that I suffered a highly malignant disease but was getting better, I'm sure the disease had a name that I could grasp the urgency of in the dream but that obviously didn't translate so well to real life. My doctor was extremely patient and caring, it almost seemed like I was his only patient and his whole life was devoted to praying for my good health. Well, the more Carell the better. I'm not complaining.



My class simultaneously transpired on the other side of the room, much like you would expect it to while you're battling a disease some 2 metres away (it wasn't a big dining room but it was decent). I have no idea what they were studying but who cares when Steve Carell has all his attention to you? I remember wondering if this can go anywhere, then remembered my crush was pretty closeby (a dilemma I can conjure up only in my dreams, it's only half-real even in the dream).



The doc later came to my bed and said ""11 Days.."" in his gruff voice, and just sat there looking into the distance and away from the camera with a proud smile and welled up eyes. He had no other dialogues that I can remember now (it's been some 6 hours), but he looked at me proudly as if I did well with the medication etc. That's when I realized - there was no future for us. UGH. 



The fact that Steve was probably meant as a father figure in the story dawned on me. I crushed any advances (or thoughts thereof) in my head. I mean even in my dream I knew Carell wasn't making a re-appearance any time soon in my life except on Netflix.







SETTING: Parallel Dream



In the meantime, I have also been walking around, participating in parallel universes. In the living room (of the staff quarters home) is an ongoing tuition class from my school timeline. I see three familiar faces from a different school (I'm friends with their friend, but whatever). They are speaking in hushed tones, and I make out ""pregnant"", ""we cannot talk"". 



I cannot tell if somebody I know might be pregnant, or if they are talking about 13 Reasons Why that I binge-watched recently, but I also cannot remember in my dream-memory if there was a pregnancy on the show (real-life memory: there was). And then, a gang of my friends from college (CET) come out the class, drag me away and tell me Somebody is pregnant and that I need to leave. 



And I leave to meet Reshma at Sreekariyam, right opposite the market but a little further away. She checks my temperature, looks at a bunch of papers that look like lab results and tells me I'll be fine, that I'm doing good, glancing at my 11 Days sticker plaster. I stand there feeling grateful for the hot doctor and doctor bestfriends I have in my life.







My crush is a pretty nervous person. I mean the outgoing but nervous up-close kind. Or maybe he just doesn't like me. But either way, I'm sitting there in my family chair made with cane and wood (there are 2 of them and are now in the 1st floor hall at our place), just listlessly looking around on what to do with my time until the plot thickens, the catheter still on.



The dude sits there on a diwan next to mine and I can see him from the corner of my eye, as you do with crushes (the diwan didn't exist during engineering quarters days though, we bought it some 8 years ago only). I am supposed to be frail and in recovery mode, although I really cannot wait to hear about the pregnancy. In my defence I think my brain was 18 in the dream. The class is dispersed but obviously none of the people I'm friends with are here.



And then, as a climactic move, the dude gets up and plonks on to the cane chair next to mine, making no efforts no hide that he's making a huge effort. I just hope neither of us makes this awkward. Even in dreams second chances are hard.



So 11 Days huh?



It feels good to know this was rehearsed. I mean that was obviously a rehearsed line.Yes so crazy. -i must not mention how hot my doctor was- but the effort is going to ruin this-SO how are you doing now?



And like a Mani Ratnam movie that begins a highly anticipated scene and thence leaves the better but probably understood bits to your own imagination (that is probably wonky and not as advanced as Mani Ratnam's and is probably going to ruin the story), the camera slowly cuts away, hoping that the leads have made it after lending them a good-enough beginning. 



Carell left the scene long ago but also this is crush-logic right here : even if Steve Carell were around, if you have a shot with your crush, just take it goddammit.







SETTING: A Flight on the Runway, boarding



It feels like a college tour but my brothers and amma are with me. The inside looks like a tourist bus, we load our bags in the overhead bins, the rest of my class do not have families with them (I wonder why :| ). My family soon disappears into the crowd as I scan the seats to see the dude waving at me with an awkward acknowledging smile from the very back of the cabin. Wow, so that earlier conversation led nowhere. And I can't even change seats. Great.



And while everyone is settling into the flight-cum-bus, in an extremely uncharacteristic move, my amma goes missing. I rush outside, my brothers and I are separated into two alternate dreams which soon converge as my brothers and amma return from a paragliding trip elsewhere. 



We still need to board and there are too many flights parked on the runway one after another as we run past them to the very end. I lead them to the front entrance and as we enter, my mother asks, Is this the right flight?



Obviously we do not have flight tickets or numbers to refer to. There is only one way to find out. I jump outside and run to the back entrance, open the door (because it's a bus) and peep inside to see a yellow t-shirted figure.Excu- oh hey! Thanks!



It's the dude, he turns and an instant reflex of an exhilarated smile pops on his face, the same on mine, and I run all the way to the front (because it's a plane) and yell, Ammaaa it's the right flight. Or at least the one we should be on.



Shubham.



Note: I thought a Steve Carell snapshot would be safer.




"
'The most personal is the most creative',"
I didn't realize until my birthday two weeks ago, when a friend pointed it out, that I haven't published much lately.&nbsp;brent talking&nbsp;was posted on March 31 and there has been exactly one blogpost since.



Time has flied and I haven't noticed. But also, drafts have been piling up since the last week of April. I just never get to publishing anything.



I have a favorite author whose blogs I love. She interweaves personal anecdotes into her own original stories (or at least used to), brought to life by her wonderful way with words. Crisp sarees and perfect toast, she says.



There is a certain sense of belonging that emanates from reading somebody's work over extended periods of time. That in some way, you know bits of their life and thereby, bits of them. So when my favorite writer doesn't update her site for a while, I feel wronged - that I've unfairly lost access. Yet when her writing seems botched up, I feel wronged again, like with her latest articles (which is why I'm not linking her here). That the creator I formerly loved has stopped writing the stories I looked forward to, or that she one day decided to change her genre from creative writing to personal essays that in my opinion she isnt as good at.



It's probably none of my business, but it is what it is, and as a reader Im allowed to have my opinions however brutal they maybe.







Once upon a time, I believed that my dance was more personal than my published writing. Because with blogging you first make a draft. Then you edit, publish. You can be as careful or as careless as you wish. And when you expose your articles, you're less vulnerable than when you let them see you dance.



I was so very wrong.



Because I always danced for myself and none of it was ever privy to a public eye. It has always been impulsive, I've never finished or considered finishing pieces because I am happy with what is.



But like someone said, any thing you create is a piece of you that's out there. Others may gaze at it, run their fingers through it, pass judgment, but it's a piece of you that you decided to let out into the world and nothing can take that away.You choose what you let the world see, the world chooses what it wants to see. And this is something I'm grappling with at the moment.



I guess there comes a point when your unfiltered thoughts as always seep into your writing, and trying to hack at them, to censor them, to make them appear palatable takes away from your work all that gave it meaning, all that you&nbsp;considered the life in it. The result is I have drafts that are replete with emotion and personal thoughts that have never seen the light of day and probably never will. Yet that is a lesser crime than sharing something stripped of any genuineness.



Of course this wariness stems from the knowledge (or presumption) that I have an audience - people who know me, that may know some things about me, to whom I could be handing over pieces to form a full picture, and that is something I can no longer stand.



What I mean by that, I guess, is privacy. I've always been a rather private person, like most people I know. But more importantly, the thoughts that make way into my writing are of an increasingly personal nature, perhaps the kind you do not want to see up in your personal blog even. George tells me it's probably a phase. That's an input you can give anyone before even listening to their problem. It's versatile, it won't do, it doesn't help.



But I do understand I'm in a phase where looking back at things while writing, the epiphanies and thoughts that ensue are always out-of-bounds stuff. Like when I wrote about a&nbsp;Modern Love&nbsp;episode and ended up talking about the evolution of&nbsp;daddy issues&nbsp;in my life and realized I wasn't ready to publish that. I do not know if or what people gain from my blog, most of it is useless if you do not know me in person, but I find it further impressive when it succeeds to be useless even otherwise - writing about nothing is a gift.



Somehow my ability to write about nothing has waned, I do not find it indulging anymore.



Yet so has the ability to lay bare bits from my life, and inhibitions that I never thought I'd deal with have crept in. I guess erratic publishing might be here to stay. What I do know is I hate middle grounds based on compromise, it'll be one or the other. 
"
Virus,"
I watched Lady Bird for the first time on 26th March. I remember the day because I had woken up to my phone buzzing with messages from concerned friends and family - US had overtaken China on the Covid dashboard the previous night to hit 85k cases, and the world was slowly waking up to that in different places. I'd been attending online classes from home for a week, it was a sunny day and most importantly, I had to get a drug test taken at Emory that morning for my summer internship. 



The lady at the empty lab was aghast at the sight of me until I told her I was there just for a pee test. Through the two hours that I was out, I was super stressed out and worried shitless, wanting to be anywhere but outside. 



I returned to my apartment to find Whole Foods bags delivered outside the door. Bless Amazon. I took all the stuff inside, washed my face and hands, wiped the surface of my phone with hand sanitizer (is that what you're supposed to do?), threw everything I wore including socks into the dirty laundry cardboard box because who knows what the virus might've hooked on to? 



I then took a shower, got to my bed, emailed HR that the drug test was done, wondering if the virus was already inside me, all the while thinking about the bus driver on my way back who wanted to know if we'd be back in college by Easter like the President said.



Probably not, I told him (Do you want us to die?). We need to keep things open, you know. It's just depressing to see the world shut down. Speak for yourself, I wish I weren't out right now. He was actually sweet and friendly, but I also knew I was going to constantly monitor myself for symptoms for 2 weeks thence. No it wasn't all that bad then, I was just super paranoid. 







US reached 100K cases that evening while I was watching Lady Bird on Prime. The President was talking about opening up localities where cases had slowed down. Blame capitalism and us for letting it feed off us; Amazon, Apple and their sweatshops across the world. Did I still not interview in these places? Yes, sure, but only to prove a point, I guess the competition was too high for me to get to my point. Anyway.



I drank an entire Tropicana bottle that day to buff up my immune system. Then I hyperventilated once every 3 days until the 2 weeks had passed, suffered some 13 episodes of self-diagnosis followed by panic, and finally began getting out of my apartment two weeks ago once my deadlines were done and summer vacation began.







I haven't used the bath tub here ever, only the shower. Not even during fall break. Well I'm glad summer is here. 



I was trying to learn a choreography today (been all week), and I'm tired and sweaty and my frothy fragrant bath awaits me. One of the positive impacts of a regular physical activity in my life is tire from exhaustion rather than the lack of sleep that I'm used to. My worked up body eventually leads to better hygienic practices, some kind (and frequency) of food intake and even sleep, all of which I've been missing these days.



I take inside the bathroom our short stool to have my tiny Bluetooth speaker closeby. I also make sure everything I may need - shampoo, gel, scrub, etc - is handy on the counters to not ruin my upcoming experience.



The water is warm and the bubbles are friendly, and I can see my feet up on either sides of the running faucet. Much like in Lady Bird, different context though. My flatmates aren't home (haven't been since spring break), Ae Hairathe Aashiqui reverberate within the bathroom walls, the door is locked from the inside so even if somebody breaks in they could never enter or I could buy time to dial 911. All is good. I could fall asleep right here, eyes closed, the warm blanket reaching upto my neck.  



So the other day a girl in my LinkedIn feed thanked Jeff Bezos for inspiring her, only the previous day news had come out about a VP quitting over firings. More than 50% of LinkedIn posts are infuriating anyway. 



I open my eyes. The fact that every single item surrounding me was from either Amazon or Walmart hit me. The speaker was Amazon, my shampoo was Amazon, the razor and everything else was either Walmart or Target. I sink further into my blanket. 



This is old. You would think an active mind is where thoughts creep up, thoughts and no action of any consequence. How about leave my worn out system alone to doze off on the tub? 



I should worry more about the orange juice without pulp that I bought yesterday. Like someone said, I could make a difference to that. I should also try the Lady Bird thing some time. Too exhausted for it now.



So lying in the tub, I decided to not check the numbers today, and I don't want to know what Trump is saying, I cannot bear to look at migrant laborers' pictures and stories in my feed, not for another two days, and not knowing seems better than curling up every third day. 



I resume my bath, close my eyes again. Radha ragasiya is amazing in the bath tub or even for the shower. I need to do this more often.



I forgot I also have kanji payar waiting for me for when I'm done, ravenous as I know I will be. This will be a good night after all.







Some days, I cannot decide if this vacation is all that bad. I keep my bars low and that helps. 
"
#10 recipe - tuna sub roti at ~$1,"
(This is for when it's sunny out and you feel like you can achieve anything in the world, or for when you're stuck at home and have canned tuna in your shelf.)



In Fall, I used to get footlong tuna from Subway very often, it was the closest thing to Old's Cool's tuna sub which was (and still is) my favorite. 



So I've been home for 14 days now and earlier this week I was trying to find new recipes to cook, ended up breaking this thing down. (Really, it was supposed to be beef and rice this week with premium meat from Austin's farm but we have a lockdown in Atlanta and my friend is hence happily stuck at home so tuna it is. Woeful days.)The only toppings I ever get from Subway are onion, lettuce, bell pepper, pickles, tomato but even otherwise putting it together should be easy enough. I've also never done such a thorough cost-breakup before so this was fun. Never doing it again. 







Ingredients (and price break-up)



Roti : 30 nos. for $8ish from Halal store (they're small but they're Haldiram's so stop complaining)



Tuna : 5oz can at $3.68. I had earlier used half of the canned tuna to make a coconut + tamarind curry (if you saw the shredded fish in the gravy you'd deem it a desecration but there's nothing like craving meencurry during a quarantine. Also never doing that again.) This is approximate but you'd need 1/8 of the can for a generous topping on a roti. 



Bell Pepper : $0.99 each. Used one half for 4 portions, chopped into cubes.  I also I cannot believe they were Rs. 4 each in Karol Bagh. They were like Rs. 10 back home, but that seems okay now. Also, too much green in your topping is a sham.



Onion : $2 for a 2lb bag with 6-7 onions. I diced around one half. Ketchup, mayonnaise.



Kitchen Equipment : Microwave, included with the apartment so add your monthly rent here. Jk. I will not let you sabotage my student economics.Including taxes, it adds upto $1.1ish or less.How-to



Scour the surface of the roti with a fork/knife so it doesn't puff up in the microwave*. Heat roti in microwave for 1min 30sec so it's crispy and can hold the tuna salad topping. 



Mix tuna, bell peppers and onion in mayonnaise, spread ketchup on roti and top with as much tuna mix as you want. I can't eat more than two at a time, that's too much tuna for me which is also why I don't get the footlong anymore. 







The first bite was so similar to a Subway that I was disappointed - do they really use canned tuna from Walmart? I guess getting Subway sandwiches only makes sense if you get better toppings on yours, I'm just the sad boring customer.It was in fact better than my subway because I could finish it faster so the bread would never get soggy from all that salad. Missed pickles, did not miss tomato. Maybe if I broke down more dishes they'd come out nice too.* Giving credit where due : Roti pizza from Bon Appetit. 
"
#9 spring break/quarantine - recipe or something like that,"
This past week at home I've cooked more meals than I have this entire semester. Right before spring break and the coronavirus going crazy in the US, I did depend rather a bit much on frozen meals for long (how do you not get tired of your own cooking?). Mashed potatoes and steak in sauce and corn, most of the corn I'd throw out, and some of the steak too. But they're a better recourse for when I get back from class on Tuesday night than a pack of ramen. 



That is not to say that I haven't been cooking this sem. I almost always have shredded spinach in the bottom drawer of my fridge, and at least one cooked dish. It sits there for a week, while I survive on bread and wheat tortillas and chappathi and ramen and frozen meals and Subway until I finally throw it out. Then I cook another dish to replace it and continue with my bad eating habits.



Coronavirus had me frantically chomping down red rice because somehow it makes me feel healthy and ready to fight illness. In fact if I do get sick, my line of defence is just going to be kanji, but more like red rice in boiling water. I hope it doesn't get to that.



Recipe



https://photos.app.goo.gl/QFQKYX9vN7MSvtFr7 (I tried to upload the video but WP has issues with me posting stuff. It's 3 seconds and you'd spend more than that getting there but anyway.)



Cooked this earlier this week. No, it didn't taste as good as it looks. Next time, I'm frying the beef in a different pan, getting rid of the fat and only adding the meat to the dish. Too fatty for my liking. Also, next time I'll try to make this a soup, sans fat.



Ingredients : Carrots, mushrooms, spinach, ground beef, spring onion. I seasoned the beef separately with salt &amp; pepper, spring onion to get rid of the distinct smell of red meat. Not enough. If anyone does something to effectively mask the smell, please do let me know. Coming from somebody who once contracted gastritis simply from the aroma of beef cooking in our kitchen. I just can't.Also, Pasta.



Seasoning : crushed black pepper, red chilli flakes, saltGarnish (and brightens it up flavor-wise) : more spring onion but cut diagonally for aestheticsCook all the ingredients in a wide pan, boil pasta separately. Add cooked pasta to the pan when done.I restrained myself from using soy sauce, I don't know if it might've made the dish better, I always add too much or too less such that it never does any good. Also cooked spinach for far too long, they were heavily shrivelled, bitter and the last of the vitamins left my kitchen by the time I plated. Do not repeat my mistake, add them at the very end. I mean ender than the end.



Maybe I shouldn't do recipes, I'm not very good at these. 
"
#8 party lights - the world is black and white,"
She looks amazing in these lights. Who even keeps burgundy lights in their rooms? I've known her all this while, and she's always been pretty. But this evening she's some beauty. And I've met so many beautiful people.



The lights make the hairs on her upper lip look stubborn - the ones that women usually wax/shave to get rid of. I wonder if I should ask her about them but decide against. (I patted myself on the back when I wrote this after, half-drunk and half-hungover.) I was not stupid. Yet.



""Men are horrible."" It sounds like she isn't looking for an opinion.



""Yes,"" I confirm. The world is black and white under these burgundy lights. So far so good.



""It's true what they say."" Her voice trails off. Not NOW, ugh.



""What do they say?"" I'm patient as ever, fighting the headache rising from my neck and about to lodge itself on the back of my head.



""Women wouldn't be straight if orientation were a choice."" While I am impressed by her clarity of thought at this hour, this is going to be borderline sad. Why are we doing it again?""Yes,"" I do not dissent. I'm not heartbroken, although it does feel like nothing could break my heart at this point. I tuck it away so it can come back to bother me later. Not here, not now.



She's resting her head against my bed now and her hair falls across her face. I should probably stop her but I only watch as she takes another sip. 



Yes, women can be horrible too.
"
#7 And never grow up,"
Remember when you were a kid and fell sick? The whole world just reduced to a bed-ridden little you wrapped in blankets and your mother who sat by your bed and attended to you 24x7, who showed up by your side every 2 hours with oranges, ORS and medicine while you ate and drank everything she asked you to even while making faces? You knew she was going to make it right.



Or how even after growing up, on a really bad day the world could reduce to essentially just that?



Yea.
"
